TIER,SYMBOL,PRICE,CHANGE_PERCENT,VOL,SHARE_VOL,TRADES
qx,RHHBY,33.23,+0.97,"46,887,527","1,415,561","1,369"
qx,GBTC,7.325,+6.93,"45,268,895","6,058,170","7,443"
qb,FMCKJ,11.25,+2.27,"12,268,924","843,803",293
qb,FNMAS,11.315,+1.57,"8,654,586","769,755",695
qx,CURLF,10.7564,-3.22,"8,470,204","772,704","2,774"
qx,DTEGY,16.70,-0.60,"7,929,818","474,330",430
qx,RHHVF,265.75,+1.33,"7,167,772","27,002",6
qx,OGRMF,7.2663,+1.63,"5,863,208","799,947","2,080"
qb,CVSI,5.05,-1.75,"5,025,720","997,648","1,368"
qx,FERGY,7.07,+1.00,"4,550,439","643,881",296
qx,JBSAY,10.54,+7.01,"4,297,246","413,603","1,042"
qx,ADDYY,139.56,+9.20,"4,282,247","30,880",657
qx,BASFY,20.65,+2.69,"4,219,186","206,050",570
qb,CHKVP,505.00,0.00,"4,030,000","8,000",2
qx,CRLBF,12.151,-3.18,"3,907,482","315,337","1,038"
qx,BNPQY,27.032,+0.75,"3,681,199","136,219",238
qx,CWBHF,19.66,+6.12,"3,522,237","182,572",928
qx,ACRGF,22.00,-2.18,"3,516,893","158,883","1,002"
qx,DANOY,15.81,-0.63,"3,381,427","214,681",578
qx,REPYY,16.52,+0.12,"3,350,673","202,710",292
qx,ADDDF,277.75,+6.83,"3,341,726","12,192",23
qb,KSHB,4.97,-0.60,"3,128,909","635,935","1,582"
qx,AVMXY,5.35,+5.11,"3,041,953","578,197",333
qb,KBLB,0.2499,+6.34,"2,974,813","12,461,476","1,349"
qx,IMBBY,30.93,+0.29,"2,869,790","92,995",449
qb,VGWCF,3.00,-4.46,"2,646,932","874,816","1,293"
qb,HOFD,40.71,+3.72,"2,545,404","63,175",247
qx,AXAHY,25.81,+0.04,"2,535,489","98,468",323
qx,EXPGY,29.21,+1.64,"2,443,703","83,697",144
qb,GGBXF,3.88,+6.01,"2,411,074","634,370","1,048"
qx,GTBIF,13.7758,+0.20,"2,394,179","171,508",618
qx,HRVSF,8.22,-0.84,"2,342,430","284,426",736
qx,ORHOF,9.16,-1.40,"2,135,385","231,370",638
qx,MMNFF,2.6784,+0.10,"2,049,469","769,216","1,167"
qx,HEINY,54.11,+0.52,"1,956,938","36,224",132
